MUN,LATITUDE,LONGITUDE
Porto Acre,-9.60085,-67.54059
Cruzeiro do Sul,-7.6403,-72.68031
Sena Madureira,-9.06533,-68.65568
Porto Walter,-8.26653,-72.7408
Rio Branco,-10.05398,-67.77721
Brasileia,-11.00317,-68.75587
Rio Branco,-9.95777,-67.82311
Cruzeiro do Sul,-7.76208,-72.30239
Tarauaca,-8.16069,-70.77096
Cruzeiro do Sul,-7.61059,-72.67329
Brasileia,-10.95322,-68.9292
Cruzeiro do Sul,-7.59902,-72.6834
Feijo,-8.17791,-70.35417
Cruzeiro do Sul,-7.5936,-72.63645
Rio Branco,-9.97189,-67.85576
Brasileia,-11.01367,-68.74793
Brasileia,-10.99365,-68.75427
Capixaba,-10.56976,-67.6735
Xapuri,-10.65207,-68.50629
Cruzeiro do Sul,-7.66489,-72.81236
Epitaciolandia,-11.03583,-68.74784
Bujari,-9.82822,-67.95488
Feijo,-8.16541,-70.34994
Xapuri,-10.64765,-68.50666
Rio Branco,-9.98972,-67.83001
Rodrigues Alves,-7.73037,-72.65143
Acrelandia,-9.81174,-67.09423
Sena Madureira,-9.06734,-68.65666
Rio Branco,-10.0038,-67.81909
Sena Madureira,-9.07061,-68.65553
Sena Madureira,-9.06606,-68.67119
Cruzeiro do Sul,-7.63933,-72.66275
Xapuri,-10.6617,-68.50574
Mancio Lima,-7.62422,-72.89548
Rio Branco,-9.93534,-67.83592
Capixaba,-10.35869,-67.81311
Feijo,-8.16388,-70.34067
Assis Brasil,-10.93476,-69.56596
Cruzeiro do Sul,-7.54919,-72.72593
Senador Guiomard,-10.15205,-67.73137
Sena Madureira,-9.23542,-68.51876
Feijo,-8.15812,-70.34947
Rio Branco,-9.97863,-67.80489
Brasileia,-11.01343,-68.74128
Cruzeiro do Sul,-7.52812,-72.88192
Cruzeiro do Sul,-7.61776,-72.667
Rio Branco,-9.94917,-67.83268
Feijo,-8.16425,-70.35455
Rio Branco,-9.975,-67.81
Santa Rosa do Purus,-9.43335,-70.49353
Rio Branco,-10.02618,-67.78172
Tarauaca,-8.15252,-70.758
Rio Branco,-9.9626,-67.82262
Tarauaca,-8.16598,-70.76617
Acrelandia,-9.82736,-66.8804
Rio Branco,-10.00707,-67.79296
Placido de Castro,-10.33513,-67.18826
Sena Madureira,-9.12921,-68.74179
Tarauaca,-8.16226,-70.76476
Epitaciolandia,-11.02549,-68.66422
Marechal Thaumaturgo,-8.92339,-72.78339
Cruzeiro do Sul,-7.63042,-72.65921
Sena Madureira,-9.0844,-68.67605
Manoel Urbano,-8.83845,-69.25961
Cruzeiro do Sul,-7.61059,-72.67329
Xapuri,-10.65423,-68.50321
Cruzeiro do Sul,-7.59179,-72.80826
Sena Madureira,-9.06804,-68.6594
Xapuri,-10.65207,-68.50629
Rio Branco,-9.97683,-67.88508
Brasileia,-10.99848,-68.75274
Feijo,-8.17065,-70.35823
Sena Madureira,-9.06606,-68.67119
Cruzeiro do Sul,-7.74057,-72.4859
Rodrigues Alves,-7.7336,-72.64785
Porto Acre,-9.60085,-67.54059
Acrelandia,-10.07847,-67.05565
Jordao,-9.18967,-71.95023
Capixaba,-10.57352,-67.67745
Porto Acre,-9.60085,-67.54059
Epitaciolandia,-11.03583,-68.74784
Cruzeiro do Sul,-7.62693,-72.68561
Sena Madureira,-9.05989,-68.66263
Rio Branco,-9.97829,-67.81052
Placido de Castro,-10.3182,-67.36636
Epitaciolandia,-11.03029,-68.73782
Feijo,-8.17005,-70.3556
Rio Branco,-9.98039,-67.8813
Senador Guiomard,-10.16019,-67.7321
Placido de Castro,-10.06371,-67.29857
Rio Branco,-9.94494,-67.8527
Placido de Castro,-10.32196,-67.18637
Sena Madureira,-9.07061,-68.65553
Xapuri,-10.64765,-68.50666
Cruzeiro do Sul,-7.61635,-72.6844
Rio Branco,-9.92538,-67.83426
Rio Branco,-9.97546,-67.8105
Porto Acre,-9.60085,-67.54059
Rio Branco,-9.9458,-67.88143
Manoel Urbano,-8.83269,-69.26525
Porto Acre,-9.60085,-67.54059
Porto Walter,-8.26653,-72.7408
Rio Branco,-9.97526,-67.79695
Sena Madureira,-9.05966,-68.6609
Rio Branco,-9.9757,-67.80183
Mancio Lima,-7.59322,-72.9165
Bujari,-9.82489,-67.95022
Cruzeiro do Sul,-7.61592,-72.66835
Sena Madureira,-9.37425,-68.72544
Cruzeiro do Sul,-7.6241,-72.6734
Rio Branco,-10.05398,-67.77721
Sena Madureira,-9.04547,-68.64725
Sena Madureira,-9.07805,-68.66901
Rio Branco,-9.9837,-67.83566
Feijo,-8.17028,-70.34661
Brasileia,-11.01367,-68.74793
Cruzeiro do Sul,-7.67424,-72.66288
Cruzeiro do Sul,-7.59994,-72.73565
Cruzeiro do Sul,-7.81068,-72.43912
Cruzeiro do Sul,-7.71086,-72.7085
Marechal Thaumaturgo,-8.92339,-72.7724
Capixaba,-10.38777,-67.76792
Cruzeiro do Sul,-7.76208,-72.30239
Bujari,-9.82489,-67.95022
Marechal Thaumaturgo,-8.94929,-72.78766
Cruzeiro do Sul,-7.63336,-72.67769
Rio Branco,-10.00236,-67.83235
Rio Branco,-9.97829,-67.81052
Rio Branco,-10.01092,-67.78156
Rio Branco,-9.99387,-67.80577
Rio Branco,-9.98581,-67.8115
Mancio Lima,-7.61128,-72.90385
Rio Branco,-10.02705,-67.79731
Feijo,-8.16541,-70.34994
Epitaciolandia,-11.02699,-68.73956
Rio Branco,-9.95352,-67.79847
Acrelandia,-9.81174,-67.09423
Rio Branco,-9.93345,-67.82559
Mancio Lima,-7.58892,-72.93587
Mancio Lima,-7.62614,-72.88166
Placido de Castro,-10.32002,-67.18629
